Book_Id,Title,Author,Author_l-f,Additional_Authors,ISBN,ISBN13,My_Rating,Average_Rating,Publisher,Binding,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Date_Added,Bookshelves,Bookshelves_with_positions,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Recommended_For,Recommended_By,Owned_Copies,Original_Purchase_Date,Original_Purchase_Location,Condition,Condition_Description,BCID
54898389,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric",,,9781544514208,0,4.66,Magrathea Publishing,ebook,,2020,,,9/21/20,currently-reading,currently-reading (#12),currently-reading,,,,1,,,0,,,,,
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,,,5,4.51,Harriman House,Paperback,,2020,,10/30/20,10/26/20,,,read,,,,1,,,0,,,,,
14290284,Pieces of the Action,Vannevar Bush,"Bush, Vannevar",,,,0,4.2,"William Morrow & Company, Inc",Hardcover,366,1970,1970,,9/20/20,"to-read, might","to-read (#90), might (#43)",to-read,,,,0,,,0,,,,,
3722134,Call Me Ted,Ted Turner,"Turner, Ted",Bill Burke,446581895,9780446581899,0,4,Grand Central Publishing,Hardcover,433,2008,2008,,8/28/20,to-read,to-read (#89),to-read,,,,0,,,0,,,,,
13155290,Several Short Sentences About Writing,Verlyn Klinkenborg,"Klinkenborg, Verlyn",,307266346,9780307266347,0,4.16,Knopf,Hardcover,224,2012,2012,,8/26/20,currently-reading,currently-reading (#11),currently-reading,,,,1,,,0,,,,,
37880811,Make Time: How to Focus on What Matters Every Day,Jake Knapp,"Knapp, Jake",John Zeratsky,525572422,9780525572428,0,4.13,Currency,Hardcover,287,2018,2018,,7/14/20,to-read,to-read (#88),to-read,,,,0,,,0,,,,,
38821039,The Making of a Manager: What to Do When Everyone Looks to You,Julie Zhuo,"Zhuo, Julie",,735219567,9780735219564,0,4.29,Portfolio,Hardcover,288,2019,2019,,7/14/20,to-read,to-read (#87),to-read,,,,0,,,0,,,,,
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,,,0,4.37,Scribner,Hardcover,368,2017,2017,,5/26/20,currently-reading,currently-reading (#10),currently-reading,,,,1,,,0,,,,,
7108725,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,"Sinek, Simon",,1591842808,9781591842804,0,4.08,Portfolio,Hardcover,256,2009,2009,,6/20/20,to-read,to-read (#86),to-read,,,,0,,,0,,,,,
52560378,Saying No to Jugaad: The Making of Bigbasket,T N Hari,"Hari, T N",M.S. Subramanian,,,0,3.85,Bloomsbury India,Kindle Edition,179,2019,,,6/5/20,to-read,to-read (#85),to-read,,,,0,,,0,,,,,
